市町村,年,客室数
南大東村,2020,94
北大東村,2020,45
伊江村,2020,182
伊平屋村,2020,105
伊是名村,2020,155
沖縄県,2020,57759
南部,2020,22442
中部,2020,7798
北部,2020,12737
宮古,2020,4848
八重山,2020,7734
離島,2020,2200
那覇市,2021,20533
糸満市,2021,618
豊見城市,2021,568
八重瀬町,2021,101
南城市,2021,493
与那原町,2021,45
南風原町,2021,39
沖縄市,2021,1308
宜野湾市,2021,907
浦添市,2021,159
うるま市,2021,878
読谷村,2021,1536
嘉手納町,2021,64
北谷町,2021,2782
北中城村,2021,413
中城村,2021,24
西原町,2021,27
名護市,2021,3274
国頭村,2021,394
大宜味村,2021,41
東村,2021,108
今帰仁村,2021,756
本部町,2021,2387
恩納村,2021,5951
宜野座村,2021,166
金武町,2021,194
宮古島市,2021,5596
多良間村,2021,108
石垣市,2021,6134
竹富町,2021,1414
与那国町,2021,305
久米島町,2021,588
渡嘉敷村,2021,315
座間味村,2021,491
粟国村,2021,81
渡名喜村,2021,29
南大東村,2021,94
北大東村,2021,68
伊江村,2021,183
伊平屋村,2021,120
伊是名村,2021,156
沖縄県,2021,59448
南部,2021,22397
中部,2021,8098
北部,2021,13271
宮古,2021,5704
八重山,2021,7853
離島,2021,2125
那覇市,2022,22476
糸満市,2022,1061
豊見城市,2022,581
八重瀬町,2022,107
南城市,2022,509
与那原町,2022,30
南風原町,2022,39
沖縄市,2022,1347
宜野湾市,2022,1246
浦添市,2022,290
うるま市,2022,915
読谷村,2022,1538
嘉手納町,2022,64
北谷町,2022,2792
北中城村,2022,413
中城村,2022,26
西原町,2022,27
名護市,2022,3406
国頭村,2022,416
大宜味村,2022,48
東村,2022,107
今帰仁村,2022,764
本部町,2022,2400
恩納村,2022,6009
宜野座村,2022,166
金武町,2022,319
宮古島市,2022,5908
多良間村,2022,103
石垣市,2022,6231
竹富町,2022,1420
与那国町,2022,307
久米島町,2022,593
渡嘉敷村,2022,315
座間味村,2022,500
粟国村,2022,83
渡名喜村,2022,29
南大東村,2022,108
北大東村,2022,68
伊江村,2022,185
伊平屋村,2022,135
伊是名村,2022,134
沖縄県,2022,63215
南部,2022,24803
中部,2022,8658
北部,2022,13635
宮古,2022,6011
八重山,2022,7958
離島,2022,2150
那覇市,2023,22258
糸満市,2023,1116
豊見城市,2023,343
八重瀬町,2023,123
南城市,2023,420
与那原町,2023,28
南風原町,2023,36
沖縄市,2023,1412
宜野湾市,2023,1182
浦添市,2023,250
うるま市,2023,987
読谷村,2023,1534
嘉手納町,2023,54
北谷町,2023,2692
北中城村,2023,397
中城村,2023,28
西原町,2023,0
名護市,2023,3511
国頭村,2023,391
大宜味村,2023,34
東村,2023,74
今帰仁村,2023,787
本部町,2023,2717
恩納村,2023,6145
宜野座村,2023,147
金武町,2023,301
宮古島市,2023,6537
多良間村,2023,69
石垣市,2023,6336
竹富町,2023,1360
与那国町,2023,190
久米島町,2023,576
渡嘉敷村,2023,261
座間味村,2023,451
粟国村,2023,71
渡名喜村,2023,22
南大東村,2023,138
北大東村,2023,69
伊江村,2023,176
伊平屋村,2023,131
伊是名村,2023,143
沖縄県,2023,63497
南部,2023,24324
中部,2023,8536
北部,2023,14107
宮古,2023,6606
八重山,2023,7886
離島,2023,2038
