市町村,年,収容人数
中城村,2016,0
西原町,2016,49
名護市,2016,6903
国頭村,2016,1127
大宜味村,2016,115
東村,2016,265
今帰仁村,2016,1656
本部町,2016,4799
恩納村,2016,15272
宜野座村,2016,531
金武町,2016,268
宮古島市,2016,8332
多良間村,2016,180
石垣市,2016,10459
竹富町,2016,4679
与那国町,2016,752
久米島町,2016,1562
渡嘉敷村,2016,1455
座間味村,2016,1876
粟国村,2016,250
渡名喜村,2016,95
南大東村,2016,158
北大東村,2016,100
伊江村,2016,482
伊平屋村,2016,629
伊是名村,2016,513
沖縄県,2016,111982
南部,2016,35666
中部,2016,13858
北部,2016,30936
宮古,2016,8512
八重山,2016,15890
離島,2016,7120
那覇市,2017,35976
糸満市,2017,2090
豊見城市,2017,973
八重瀬町,2017,177
南城市,2017,1346
与那原町,2017,100
南風原町,2017,26
沖縄市,2017,1973
宜野湾市,2017,1818
浦添市,2017,201
うるま市,2017,2215
読谷村,2017,3821
嘉手納町,2017,56
北谷町,2017,4365
北中城村,2017,686
中城村,2017,0
西原町,2017,56
名護市,2017,7390
国頭村,2017,1154
大宜味村,2017,136
東村,2017,309
今帰仁村,2017,1876
本部町,2017,5186
恩納村,2017,15740
宜野座村,2017,541
金武町,2017,406
宮古島市,2017,8517
多良間村,2017,205
石垣市,2017,11799
竹富町,2017,4638
与那国町,2017,760
久米島町,2017,1592
渡嘉敷村,2017,1427
座間味村,2017,1701
粟国村,2017,250
渡名喜村,2017,82
南大東村,2017,168
北大東村,2017,100
伊江村,2017,429
伊平屋村,2017,629
伊是名村,2017,489
沖縄県,2017,121403
南部,2017,40688
中部,2017,15191
北部,2017,32738
宮古,2017,8722
八重山,2017,17197
離島,2017,6867
那覇市,2018,38240
糸満市,2018,2152
豊見城市,2018,1012
八重瀬町,2018,183
南城市,2018,1321
与那原町,2018,107
南風原町,2018,98
沖縄市,2018,2162
宜野湾市,2018,2034
浦添市,2018,288
うるま市,2018,2572
読谷村,2018,3840
嘉手納町,2018,62
北谷町,2018,6326
北中城村,2018,689
中城村,2018,48
西原町,2018,53
名護市,2018,8547
国頭村,2018,1192
大宜味村,2018,135
東村,2018,389
今帰仁村,2018,2064
本部町,2018,6322
恩納村,2018,17371
宜野座村,2018,566
金武町,2018,446
宮古島市,2018,9135
多良間村,2018,215
石垣市,2018,12441
竹富町,2018,4770
与那国町,2018,760
久米島町,2018,1641
渡嘉敷村,2018,1350
座間味村,2018,1689
粟国村,2018,250
渡名喜村,2018,82
南大東村,2018,168
北大東村,2018,100
伊江村,2018,499
伊平屋村,2018,629
伊是名村,2018,497
沖縄県,2018,132445
南部,2018,43113
中部,2018,18074
北部,2018,37032
宮古,2018,9350
八重山,2018,17971
離島,2018,6905
那覇市,2019,43712
糸満市,2019,2182
豊見城市,2019,1107
八重瀬町,2019,232
南城市,2019,1590
与那原町,2019,107
南風原町,2019,98
沖縄市,2019,3487
宜野湾市,2019,2336
浦添市,2019,466
うるま市,2019,3139
読谷村,2019,4268
嘉手納町,2019,162
北谷町,2019,7302
北中城村,2019,818
中城村,2019,48
西原町,2019,49
名護市,2019,9033
国頭村,2019,1312
大宜味村,2019,190
東村,2019,452
今帰仁村,2019,1981
本部町,2019,7619
恩納村,2019,19973
宜野座村,2019,624
金武町,2019,613
宮古島市,2019,10215
多良間村,2019,189
石垣市,2019,14055
竹富町,2019,4421
与那国町,2019,783
久米島町,2019,1618
渡嘉敷村,2019,1083
座間味村,2019,1708
粟国村,2019,266
渡名喜村,2019,82
南大東村,2019,168
北大東村,2019,100
伊江村,2019,499
伊平屋村,2019,626
伊是名村,2019,503
沖縄県,2019,149216
南部,2019,49028
中部,2019,22075
北部,2019,41797
宮古,2019,10404
八重山,2019,19259
離島,2019,6653
那覇市,2020,45656
糸満市,2020,2212
豊見城市,2020,1160
八重瀬町,2020,281
南城市,2020,1817
与那原町,2020,101
南風原町,2020,98
沖縄市,2020,3399
宜野湾市,2020,2373
浦添市,2020,581
うるま市,2020,2834
読谷村,2020,4774
嘉手納町,2020,190
北谷町,2020,8853
北中城村,2020,1013
中城村,2020,48
西原町,2020,45
名護市,2020,9418
国頭村,2020,1317
大宜味村,2020,181
東村,2020,489
今帰仁村,2020,2169
本部町,2020,9086
恩納村,2020,20861
宜野座村,2020,662
金武町,2020,613
宮古島市,2020,12739
多良間村,2020,189
石垣市,2020,15419
竹富町,2020,4229
与那国町,2020,793
久米島町,2020,1633
渡嘉敷村,2020,1117
座間味村,2020,1682
粟国村,2020,266
渡名喜村,2020,74
南大東村,2020,168
北大東村,2020,100
伊江村,2020,451
伊平屋村,2020,619
伊是名村,2020,503
沖縄県,2020,160213
南部,2020,51325
中部,2020,24110
北部,2020,44796
宮古,2020,12928
八重山,2020,20441
離島,2020,6613
那覇市,2021,46438
糸満市,2021,2021
豊見城市,2021,1237
八重瀬町,2021,316
南城市,2021,2076
与那原町,2021,107
南風原町,2021,88
沖縄市,2021,4001
宜野湾市,2021,2630
浦添市,2021,574
うるま市,2021,2859
読谷村,2021,4895
嘉手納町,2021,210
北谷町,2021,9416
北中城村,2021,1017
中城村,2021,48
西原町,2021,43
名護市,2021,9557
国頭村,2021,1323
大宜味村,2021,176
東村,2021,482
今帰仁村,2021,2809
本部町,2021,9871
恩納村,2021,21592
宜野座村,2021,673
金武町,2021,666
宮古島市,2021,15063
多良間村,2021,213
石垣市,2021,15868
竹富町,2021,4174
与那国町,2021,799
久米島町,2021,1477
渡嘉敷村,2021,1119
座間味村,2021,1572
粟国村,2021,266
渡名喜村,2021,74
南大東村,2021,168
北大東村,2021,104
伊江村,2021,478
伊平屋村,2021,649
伊是名村,2021,513
沖縄県,2021,167662
南部,2021,52283
中部,2021,25693
北部,2021,47149
宮古,2021,15276
八重山,2021,20841
離島,2021,6420
那覇市,2022,50937
糸満市,2022,3036
豊見城市,2022,1288
八重瀬町,2022,328
南城市,2022,2151
与那原町,2022,75
南風原町,2022,88
沖縄市,2022,4085
宜野湾市,2022,3515
浦添市,2022,969
うるま市,2022,2989
読谷村,2022,4934
嘉手納町,2022,210
北谷町,2022,9424
北中城村,2022,1017
中城村,2022,60
西原町,2022,43
名護市,2022,9901
国頭村,2022,1380
大宜味村,2022,218
東村,2022,478
今帰仁村,2022,2874
本部町,2022,9898
