市町村,年,軒数
多良間村,2015,10
北中城村,2015,6
嘉手納町,2015,4
渡名喜村,2015,10
南大東村,2015,5
与那原町,2015,4
中城村,2015,0
北大東村,2015,2
南風原町,2015,3
西原町,2015,3
沖縄県,2015,1664
南部,2015,259
中部,2015,174
北部,2015,405
宮古,2015,233
八重山,2015,382
離島,2015,211
宮古島市,2016,247
那覇市,2016,219
石垣市,2016,220
恩納村,2016,95
本部町,2016,128
今帰仁村,2016,107
名護市,2016,48
竹富町,2016,158
うるま市,2016,54
読谷村,2016,40
北谷町,2016,35
南城市,2016,31
沖縄市,2016,26
座間味村,2016,80
金武町,2016,11
宜野湾市,2016,14
久米島町,2016,24
国頭村,2016,24
渡嘉敷村,2016,35
宜野座村,2016,24
与那国町,2016,26
東村,2016,15
大宜味村,2016,13
糸満市,2016,10
伊江村,2016,16
伊是名村,2016,20
八重瀬町,2016,4
伊平屋村,2016,14
浦添市,2016,10
粟国村,2016,9
豊見城市,2016,17
多良間村,2016,10
北中城村,2016,6
嘉手納町,2016,5
渡名喜村,2016,10
南大東村,2016,5
与那原町,2016,5
中城村,2016,0
北大東村,2016,2
南風原町,2016,3
西原町,2016,3
沖縄県,2016,1823
南部,2016,289
中部,2016,193
北部,2016,465
宮古,2016,257
八重山,2016,404
離島,2016,215
宮古島市,2017,234
那覇市,2017,271
石垣市,2017,258
恩納村,2017,96
本部町,2017,161
今帰仁村,2017,121
名護市,2017,52
竹富町,2017,158
うるま市,2017,68
読谷村,2017,54
北谷町,2017,51
南城市,2017,46
沖縄市,2017,40
座間味村,2017,71
金武町,2017,19
宜野湾市,2017,22
久米島町,2017,31
国頭村,2017,28
渡嘉敷村,2017,35
宜野座村,2017,25
与那国町,2017,25
東村,2017,21
大宜味村,2017,17
糸満市,2017,17
伊江村,2017,16
伊是名村,2017,19
八重瀬町,2017,7
伊平屋村,2017,14
浦添市,2017,15
粟国村,2017,9
豊見城市,2017,21
多良間村,2017,12
北中城村,2017,6
嘉手納町,2017,7
渡名喜村,2017,10
南大東村,2017,5
与那原町,2017,10
中城村,2017,0
北大東村,2017,2
南風原町,2017,4
西原町,2017,4
沖縄県,2017,2082
南部,2017,376
中部,2017,267
北部,2017,540
宮古,2017,246
八重山,2017,441
離島,2017,212
宮古島市,2018,252
那覇市,2018,350
石垣市,2018,280
恩納村,2018,134
本部町,2018,229
今帰仁村,2018,130
名護市,2018,67
竹富町,2018,162
うるま市,2018,89
読谷村,2018,71
北谷町,2018,99
南城市,2018,43
沖縄市,2018,53
座間味村,2018,71
金武町,2018,23
宜野湾市,2018,33
久米島町,2018,32
国頭村,2018,33
渡嘉敷村,2018,31
宜野座村,2018,25
与那国町,2018,26
東村,2018,33
大宜味村,2018,20
糸満市,2018,17
伊江村,2018,19
伊是名村,2018,20
八重瀬町,2018,8
伊平屋村,2018,14
浦添市,2018,25
粟国村,2018,9
豊見城市,2018,24
多良間村,2018,14
北中城村,2018,9
嘉手納町,2018,8
渡名喜村,2018,10
南大東村,2018,5
与那原町,2018,9
中城村,2018,1
北大東村,2018,2
南風原町,2018,4
西原町,2018,4
沖縄県,2018,2488
南部,2018,455
中部,2018,392
北部,2018,694
宮古,2018,266
八重山,2018,468
離島,2018,213
宮古島市,2019,285
那覇市,2019,446
石垣市,2019,333
恩納村,2019,244
本部町,2019,285
今帰仁村,2019,130
名護市,2019,101
竹富町,2019,152
うるま市,2019,118
読谷村,2019,98
北谷町,2019,142
南城市,2019,68
沖縄市,2019,93
座間味村,2019,73
金武町,2019,40
宜野湾市,2019,44
久米島町,2019,30
国頭村,2019,35
渡嘉敷村,2019,31
宜野座村,2019,30
与那国町,2019,26
東村,2019,39
大宜味村,2019,23
糸満市,2019,18
伊江村,2019,19
伊是名村,2019,21
八重瀬町,2019,13
伊平屋村,2019,14
浦添市,2019,29
粟国村,2019,10
豊見城市,2019,26
多良間村,2019,13
北中城村,2019,11
嘉手納町,2019,9
渡名喜村,2019,10
南大東村,2019,5
与那原町,2019,9
中城村,2019,1
北大東村,2019,2
南風原町,2019,4
西原町,2019,4
沖縄県,2019,3084
南部,2019,584
中部,2019,549
北部,2019,927
宮古,2019,298
八重山,2019,511
離島,2019,215
宮古島市,2020,389
那覇市,2020,430
石垣市,2020,384
恩納村,2020,299
本部町,2020,311
今帰仁村,2020,135
名護市,2020,108
竹富町,2020,148
うるま市,2020,101
読谷村,2020,109
北谷町,2020,162
南城市,2020,81
沖縄市,2020,83
座間味村,2020,73
金武町,2020,40
宜野湾市,2020,48
久米島町,2020,34
国頭村,2020,36
渡嘉敷村,2020,34
宜野座村,2020,33
与那国町,2020,27
東村,2020,42
大宜味村,2020,22
糸満市,2020,16
伊江村,2020,16
伊是名村,2020,21
八重瀬町,2020,16
伊平屋村,2020,15
浦添市,2020,26
粟国村,2020,10
豊見城市,2020,26
多良間村,2020,13
北中城村,2020,12
嘉手納町,2020,9
渡名喜村,2020,9
南大東村,2020,5
与那原町,2020,8
中城村,2020,1
北大東村,2020,2
南風原町,2020,4
西原町,2020,4
沖縄県,2020,3342
南部,2020,581
中部,2020,555
北部,2020,1026
宮古,2020,402
八重山,2020,559
離島,2020,219
宮古島市,2021,411
那覇市,2021,437
石垣市,2021,413
恩納村,2021,328
本部町,2021,323
今帰仁村,2021,143
名護市,2021,109
竹富町,2021,148
うるま市,2021,101
読谷村,2021,117
北谷町,2021,164
南城市,2021,93
沖縄市,2021,82
座間味村,2021,70
金武町,2021,44
宜野湾市,2021,53
久米島町,2021,35
国頭村,2021,36
渡嘉敷村,2021,34
宜野座村,2021,33
与那国町,2021,28
東村,2021,43
大宜味村,2021,21
糸満市,2021,15
伊江村,2021,16
伊是名村,2021,22
八重瀬町,2021,17
伊平屋村,2021,16
浦添市,2021,18
粟国村,2021,10
豊見城市,2021,32
多良間村,2021,15
北中城村,2021,12
嘉手納町,2021,9
渡名喜村,2021,9
南大東村,2021,5
与那原町,2021,9
中城村,2021,1
北大東村,2021,2
南風原町,2021,3
西原町,2021,3
沖縄県,2021,3480
南部,2021,606
中部,2021,560
北部,2021,1080
宮古,2021,426
八重山,2021,589
離島,2021,219
宮古島市,2022,456
那覇市,2022,459
石垣市,2022,436
恩納村,2022,351
本部町,2022,340
今帰仁村,2022,156
名護市,2022,109
竹富町,2022,149
うるま市,2022,114
読谷村,2022,119
北谷町,2022,163
南城市,2022,101
沖縄市,2022,86
座間味村,2022,73
金武町,2022,50
宜野湾市,2022,54
久米島町,2022,40
国頭村,2022,44
渡嘉敷村,2022,34
宜野座村,2022,33
与那国町,2022,30
東村,2022,42
大宜味村,2022,23
糸満市,2022,16
伊江村,2022,17
伊是名村,2022,18
八重瀬町,2022,18
伊平屋村,2022,20
浦添市,2022,16
粟国村,2022,12
豊見城市,2022,33
多良間村,2022,14
北中城村,2022,12
嘉手納町,2022,9
渡名喜村,2022,9
南大東村,2022,6
与那原町,2022,9
中城村,2022,2
北大東村,2022,2
南風原町,2022,3
西原町,2022,3
沖縄県,2022,3681
南部,2022,639
中部,2022,578
北部,2022,1148
宮古,2022,470
八重山,2022,615
離島,2022,231
宮古島市,2023,496
那覇市,2023,474
石垣市,2023,458
恩納村,2023,377
本部町,2023,363
今帰仁村,2023,230
名護市,2023,180
竹富町,2023,154
うるま市,2023,136
読谷村,2023,135
北谷町,2023,131
南城市,2023,107
沖縄市,2023,97
座間味村,2023,73
金武町,2023,52
宜野湾市,2023,47
久米島町,2023,38
国頭村,2023,36
渡嘉敷村,2023,32
宜野座村,2023,32
与那国町,2023,28
東村,2023,24
大宜味村,2023,22
糸満市,2023,21
伊江村,2023,20
伊是名村,2023,19
八重瀬町,2023,19
伊平屋村,2023,17
浦添市,2023,17
粟国村,2023,12
豊見城市,2023,11
多良間村,2023,10
北中城村,2023,10
嘉手納町,2023,9
渡名喜村,2023,8
南大東村,2023,7
与那原町,2023,6
中城村,2023,3
北大東村,2023,2
南風原町,2023,1
西原町,2023,0
沖縄県,2023,3914
南部,2023,639
中部,2023,585
北部,2023,1316
宮古,2023,506
八重山,2023,640
離島,2023,228
